address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Rua Conselheiro Ramalho,Bela Vista,26,1,0,Studio e kitnet,1953,2338,"Rua Conselheiro Ramalho, Bela Vista, São Paulo, Brazil",-23.5579071,-46.6443752,96
Rua Tomé de Lara,Tucuruvi,41,2,0,Apartamento,1800,2019,"Rua Tomé de Lara, Tucuruvi, São Paulo, Brazil",-23.4800212,-46.6083672,59
Rua Conselheiro Lafaiette,Mooca,30,1,0,Apartamento,1635,2033,"Rua Conselheiro Lafaiette, Mooca, São Paulo, Brazil",-23.560357,-46.5989864,62
Rua Barão de Campinas,Campos Elíseos,12,1,0,Studio e kitnet,900,1125,"Rua Barão de Campinas, Campos Elíseos, São Paulo, Brazil",-23.1906017,-46.9045899,6
Rua Maria Zélia,Piqueri,41,1,1,Casa,1550,1624,"Rua Maria Zélia, Piqueri, São Paulo, Brazil",-23.5028029,-46.7127336,93
Rua Ribeiro Marcondes,Vila Prudente,32,1,0,Studio e kitnet,1350,1502,"Rua Ribeiro Marcondes, Vila Prudente, São Paulo, Brazil",-23.5812581,-46.5807043,123
Avenida Ajarani,Cidade Patriarca,44,2,1,Apartamento,1800,2527,"Avenida Ajarani, Cidade Patriarca, São Paulo, Brazil",-23.5408281,-46.512296,13
Rua Antônio de Macedo Soares,Campo Belo,50,1,1,Apartamento,3350,4029,"Rua Antônio de Macedo Soares, Campo Belo, São Paulo, Brazil",-23.6278022,-46.6803381,132
Rua Martins Fontes,Centro,30,1,0,Apartamento,2600,3100,"Rua Martins Fontes, Centro, São Paulo, Brazil",-23.181468,-45.871944,57
Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,46,2,0,Apartamento,1400,1758,"Avenida Rubens Fraga de Toledo Arruda, Engenheiro Goulart, São Paulo, Brazil",-23.50205665,-46.521772999999996,143
Alameda Barros,Santa Cecília,30,1,0,Studio e kitnet,2327,2767,"Alameda Barros, Santa Cecília, São Paulo, Brazil",-23.5367802,-46.6550521,40
Avenida Aparecida do Rio Negro,Jardim Peri,43,2,1,Apartamento,1732,2078,"Avenida Aparecida do Rio Negro, Jardim Peri, São Paulo, Brazil",-23.4581477,-46.6593929,145
Rua Desembargador Aragão,Vila Mariana,40,1,1,Studio e kitnet,4900,5471,"Rua Desembargador Aragão, Vila Mariana, São Paulo, Brazil",-23.5931106,-46.6310858,76
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,32,1,0,Studio e kitnet,2000,2754,"Rua Brigadeiro Tobias, Centro Histórico de São Paulo, São Paulo, Brazil",-23.802029,-46.9140397,19
Rua Antônio Gomes Ferreira,Sacomã,32,2,0,Apartamento,1350,1652,"Rua Antônio Gomes Ferreira, Sacomã, São Paulo, Brazil",-23.6338064,-46.5942366,37
Rua Anhanguera,Barra Funda,69,2,2,Apartamento,5390,6182,"Rua Anhanguera, Barra Funda, São Paulo, Brazil",-23.52676965,-46.6641308,112
Rua Manuel Leiroz,Vila Penteado,41,2,0,Apartamento,1500,1958,"Rua Manuel Leiroz, Vila Penteado, São Paulo, Brazil",-23.46959695,-46.6840506,115
Praça Doutor Mário Margarido,Liberdade,30,1,0,Apartamento,1092,1474,"Praça Doutor Mário Margarido, Liberdade, São Paulo, Brazil",-23.558891,-46.6340727,60
Rua José Arzão,Vila Andrade,51,2,0,Apartamento,2480,3529,"Rua José Arzão, Vila Andrade, São Paulo, Brazil",-23.6188487,-46.7449562,85
